,comment_id,anonymous,graduating_year,job_title,tagline,created_at,program,overall_score,overall,curriculum,job_support,school
2803,286682,False,2022,,Worthwhile with some very valuable components,3/11/2022,UI/UX Design Career Track,3.3,4.0,3.0,3.0,springboard
2804,286653,False,2022,,"My Springboard UX/UI Experience - Great and clear curriculum, responsive class support, good mentor",3/10/2022,UI/UX Design Career Track,4.7,5.0,5.0,4.0,springboard
2805,286533,False,2022,UX/UI Designer,I had a great experience with Springboard,3/8/2022,UI/UX Design Career Track,4.7,4.0,5.0,5.0,springboard
2806,286521,False,2022,,Solid and Informative,3/7/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2807,286507,False,2022,Product Designer,UX/UI - Life Changing Experience.,3/7/2022,UI/UX Design Career Track,4.7,5.0,5.0,4.0,springboard
2808,286478,False,2021,,unforgettable experience  and I have learned a-lot from Springboard,3/7/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2809,286457,False,2022,Machine Learning Engineer,"Acceptable Coursework, Good Job Support, Great Alumni Network. Ideal course if you have a technical background.",3/6/2022,Data Science Career Track,4.0,4.0,3.0,5.0,springboard
2810,286455,False,2022,software engineer student,I had an excellent experience,3/6/2022,Software Engineering Career Track Prep Course,5.0,5.0,5.0,5.0,springboard
2811,286426,True,2021,UX Designer,The UX career track at Springboard has challenged and pushed me to become a better designer.,3/4/2022,UX Career Track,4.3,5.0,4.0,4.0,springboard
2812,286423,False,2022,,Best career investment,3/4/2022,Data Analytics Career Track,4.0,4.0,4.0,4.0,springboard
2813,286384,False,2022,Full Stack Developer,Incredible Experience!,3/3/2022,Software Engineering Career Track,5.0,5.0,5.0,,springboard
2814,286253,False,2022,Integration Engineer,Springboard Data Science Track Review,2/27/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2815,286217,False,2022,UX Designer,Springboard UI/UX Track,2/25/2022,UI/UX Design Career Track,4.7,5.0,5.0,4.0,springboard
2816,286208,False,2022,UX designer,Springboard UI/UX Design Career Track,2/25/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2817,286177,False,2022,,A total life changing journey to the career of my dreams!,2/24/2022,Software Engineering Career Track,4.7,5.0,4.0,5.0,springboard
2818,286166,False,2022,,This program is extremely thorough. The curriculum and projects prepare you for the role as a UI UX designer.,2/23/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2819,286152,False,2022,,I can't recommend Springboard UX/UI Bootcamp Enough - Amazing Experience,2/23/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2820,286149,False,2022,,I learned SO much!!!,2/23/2022,UI/UX Design Career Track,4.7,5.0,5.0,4.0,springboard
2821,286148,False,2022,,Intense but rewarding,2/23/2022,Data Analytics Career Track,4.3,4.0,4.0,5.0,springboard
2822,286107,False,2022,Data Analyst,Overall Great Experience with Data,2/22/2022,Data Analytics Career Track,4.3,5.0,4.0,4.0,springboard
2823,286061,False,2022,UX/UI Designer,"If you want to get a career in UX/UI Design, take a leap of faith with Springboard.",2/21/2022,UI/UX Design Career Track,4.7,5.0,4.0,5.0,springboard
2824,286053,False,2022,UX Designer,AMAZING Bootcamp,2/20/2022,UX Career Track,5.0,5.0,5.0,5.0,springboard
2825,286048,False,2022,,Great overall experience,2/20/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2826,285987,False,2022,,Well-rounded educational experience!,2/17/2022,UI/UX Design Career Track,4.7,5.0,4.0,5.0,springboard
2827,285929,False,2022,,Real people behind the screen.,2/16/2022,UI/UX Design Career Track,4.0,4.0,4.0,,springboard
2828,285905,False,2022,,Springboard satisfavtion,2/15/2022,Data Analytics Career Track,4.3,4.0,5.0,4.0,springboard
2829,285814,False,2022,Data Analyst,"Incredible, Best Learning Experience",2/11/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2830,285772,False,2022,UX/UI Designer,Glad to choose Springboard for a career change!,2/10/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2831,285759,False,2022,Data Analyst,Data Analytics Career Track,2/9/2022,Data Analytics Career Track,3.7,3.0,4.0,4.0,springboard
2832,285756,True,2022,,"""Extensive program with a lot of support and projects applicable to real-life.""",2/9/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2833,285694,False,2022,Data Analyst,Absolutely wonderful experience! Best mentors in the industry,2/7/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2834,285647,False,2022,,Very straight forward courses especially the extra-mentor,2/6/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2835,285636,False,2022,,Was a great 0-100 foundation for software development. I had little knowledge coming in and feel confident I can get a job and move forward in this field coming out!,2/5/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2836,285499,True,2022,UI Designer,What a nice and straight forward course,2/1/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2837,285491,False,2022,UX Designer,Great course and great mentor program!,1/31/2022,UI/UX Design Career Track,4.7,5.0,5.0,4.0,springboard
2838,285474,False,2022,Engineer,Overall Good Experience,1/31/2022,Data Science Career Track,4.7,5.0,4.0,5.0,springboard
2839,285435,False,2022,UX Design,You get what you put in,1/29/2022,UX Career Track,4.0,4.0,5.0,3.0,springboard
2840,285345,False,2022,Data Scientist,Absolutely amazing experience! Worth every penny!,1/25/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
